"country","suicideRateByCountry_rate2019both","suicideRateByCountry_rate2019male","suicideRateByCountry_rate2019female"
"India",12.7,14.1,11.1
"China",8.1,9.8,6.2
"United States",16.1,25,7.5
"Indonesia",2.4,3.7,1.1
"Pakistan",8.9,13.3,4.3
"Nigeria",3.5,5,1.9
"Brazil",6.9,10.9,3
"Bangladesh",3.7,5.7,1.7
"Russia",25.1,43.6,9.1
"Ethiopia",5.4,7.7,3.1
"Mexico",5.3,8.5,2.2
"Japan",15.3,21.8,9.2
"Philippines",2.2,3.1,1.2
"Egypt",3,4,2
"DR Congo",6.7,10.6,2.8
"Vietnam",7.5,10.4,4.7
"Iran",5.2,7.7,2.8
"Turkey",2.4,3.6,1.2
"Germany",12.3,18.6,6.2
"Thailand",8.8,15,2.9
"Tanzania",4.3,6.6,2
"United Kingdom",7.9,11.8,4
"France",13.8,20.4,7.6
"South Africa",23.5,37.6,9.8
"Italy",6.7,10.1,3.5
"Kenya",6.1,9.1,3.2
"Myanmar",2.9,4.9,1.1
"Colombia",3.9,6.1,1.8
"South Korea",28.6,40.2,16.9
"Uganda",4.6,7.6,1.7
"Sudan",3.8,4.9,2.8
"Spain",7.7,11.4,4.2
"Iraq",3.6,5.2,2
"Algeria",2.5,3.1,1.8
"Argentina",8.4,13.7,3.3
"Afghanistan",4.1,4.6,3.6
"Poland",11.3,20.1,3.1
"Canada",11.8,17.6,6.1
"Morocco",7.2,9.7,4.7
"Ukraine",21.6,39.2,6.5
"Angola",6.1,10,2.3
"Saudi Arabia",6,8.9,2
"Uzbekistan",8,11.3,4.8
"Yemen",5.8,7,4.6
"Mozambique",13.6,22,5.7
"Ghana",6.6,11.8,1.2
"Peru",2.8,4.2,1.4
"Malaysia",5.7,8.9,2.3
"Nepal",9,16.4,2.7
"Madagascar",5.5,7.6,3.4
"Ivory Coast",8.9,14.9,2.8
"Venezuela",2.1,3.5,0.7
"Cameroon",9,13.6,4.4
"Niger",5.3,7.2,3.3
"Australia",12.5,18.6,6.4
"North Korea",9.4,11.2,7.6
"Syria",2,3.2,0.7
"Mali",4.1,5.3,2.9
"Burkina Faso",7.5,11.3,3.7
"Sri Lanka",14,22.3,6.2
"Malawi",5.4,9.2,1.7
"Zambia",7.3,12,2.7
"Kazakhstan",17.6,29,6.8
"Chile",9,14.9,3.2
"Romania",9.7,16.5,3.3
"Chad",6.4,9.6,3.3
"Somalia",7.9,12,3.8
"Ecuador",7.6,11.6,3.6
"Guatemala",5.9,9.4,2.6
"Senegal",6,9.2,3
"Netherlands",11.8,15.5,8.3
"Cambodia",4.9,7,2.8
"Zimbabwe",14.1,20,8.8
"Guinea",7,9.2,4.9
"Rwanda",5.6,8.2,3
"Benin",7.8,11.8,3.8
"Burundi",6.2,9.2,3.4
"Bolivia",6.2,8.4,4.1
"Tunisia",3.3,4.7,1.9
"Haiti",9.6,11.8,7.6
"Belgium",18.3,24.9,11.8
"Dominican Republic",4.9,8,1.8
"Jordan",1.6,2.5,0.7
"South Sudan",3.9,5.7,2
"Cuba",14.5,23,6
"Honduras",2.1,3.3,0.8
"Sweden",14.7,19.9,9.5
"Papua New Guinea",3,4.3,1.6
"Czech Republic",12.2,19.8,4.8
"Azerbaijan",4.1,6.6,1.6
"Tajikistan",4.3,5.7,2.8
"Greece",5.1,8.4,1.9
"Portugal",11.5,17.9,5.7
"Hungary",16.6,25.9,8.3
"United Arab Emirates",6.4,8,3
"Belarus",21.2,36.7,7.7
"Israel",5.3,8.4,2.3
"Togo",8.8,13.8,3.9
"Sierra Leone",6.7,8.3,5.1
"Austria",14.6,22.8,6.7
"Switzerland",14.5,20.2,9
"Laos",5.4,7.6,3.2
"Nicaragua",4.4,6.9,1.9
"Serbia",11.4,16.6,6.3
"Libya",4.5,6,2.9
"Paraguay",6,8.7,3.2
"Kyrgyzstan",7.4,11.7,3.2
"Bulgaria",9.7,15.3,4.4
"Turkmenistan",5.7,8.8,2.7
"El Salvador",6.1,10.5,2.1
"Republic of the Congo",6.5,9.5,3.5
"Singapore",11.2,15,7.1
"Denmark",10.7,14.9,6.5
"Central African Republic",12.3,19.6,5.2
"Slovakia",12.1,21.2,3.4
"Finland",15.3,23.2,7.6
"Liberia",4.5,5.6,3.3
"Norway",11.8,15.8,7.7
"New Zealand",11,16.5,5.8
"Costa Rica",8.1,14.1,2
"Lebanon",2.8,3.8,1.7
"Ireland",9.6,15.4,3.9
"Mauritania",3.1,4,2.2
"Oman",4.9,6.8,1
"Panama",2.9,4.7,1
"Kuwait",2.9,4.3,0.7
"Croatia",16.4,25.3,8.1
"Eritrea",10.9,16.6,5.2
"Georgia",9.2,16,3
"Mongolia",17.9,30.7,5.4
"Uruguay",21.2,34.5,8.9
"Moldova",14.7,26.1,4.1
"Bosnia and Herzegovina",10.9,17.6,4.5
"Gambia",4.8,6.6,3
"Albania",4.3,5.9,2.7
"Jamaica",2.4,3.7,1.1
"Armenia",3.3,5.6,1.3
"Qatar",5.8,7.2,1.7
"Botswana",16.1,26.3,6.4
"Lithuania",26.1,45.4,9.6
"Namibia",9.7,16.7,3.2
"Gabon",8.4,14.2,2.4
"Lesotho",72.4,116,30.1
"Guinea-Bissau",7,10.2,3.9
"Slovenia",19.8,31.4,8.3
"North Macedonia",9.4,13.9,4.8
"Latvia",20.1,35.5,7
"Equatorial Guinea",7.9,9.4,6
"Trinidad and Tobago",8.7,13.9,3.6
"Bahrain",8.9,12.5,2.4
"Timor-Leste",3.7,5.3,2
"Estonia",14.9,24.3,6.5
"Mauritius",9.5,16.3,2.8
"Cyprus",3.6,6,1.3
"Eswatini",29.4,55.1,4.7
"Djibouti",9.6,12.6,6.4
"Fiji",9,12.2,5.7
"Comoros",5.4,7,3.8
"Guyana",40.3,63,17.4
"Bhutan",4.6,6.3,2.7
"Solomon Islands",14.7,27,1.9
"Luxembourg",11.3,15.3,7.1
"Suriname",25.4,38.8,11.8
"Montenegro",21,31.7,10.4
"Cape Verde",12.9,21.3,4.5
"Malta",6.1,9.8,2.3
"Maldives",2.7,3.9,0.8
"Brunei",2.7,4.4,0.8
"Belize",7.1,12.5,1.7
"Bahamas",3.5,5.9,1.3
"Iceland",11.9,19.8,3.9
"Vanuatu",18,28.1,7.6
"Barbados",0.6,0.9,0.3
"Sao Tome and Principe",1.5,2.2,0.8
"Samoa",12.6,18,6.7
"Saint Lucia",7.9,14.3,1.7
"Kiribati",28.3,48.6,8.7
"Grenada",0.7,0.6,0.7
"Micronesia",28.2,43.2,12.7
"Tonga",3.8,5,2.6
"Seychelles",8.1,14.4,1.4
"Saint Vincent and the Grenadines",1,1.3,0.6
"Antigua and Barbuda",0.4,0,0.8
"Total",9.063752690234605,12.518302393745287,5.643044287470079